Timestamp start_time,Tool id,Operation,End_time
 2025-05-29  14-35-00,CNMG04,TURNING, 2025-05-29  15-10-00
 2025-05-31  12-05-00,CNMG04,TURNING, 2025-05-31  16-50-00
 2025-06-02  09-57-00,CNMG04,TURNING, 2025-06-02  16-30-00
 2025-06-03  10-00-00,CNMG04,TURNING, 2025-06-03  16-22-00
